1;90;43;6,458;0,5135;0,204;0,1726;
1;89;27;0,0007;0,0005;0,0003;0,0002;
2;36;63;0,0003;0,1872;0,0003;0,0003;
1;29;45;0,0003;0,0003;0,0002;0,0003;
2;45;38;0,0003;0,0012;0,0002;0,0002;
3;28;26;0,0003;0,0003;0,0003;0,0002;
1;10;20;0,0002;0,0001;0,0001;0,0001;
2;24;74;0,0002;0,0002;0,0002;0,0001;
3;56;99;0,0002;0,0002;0,0002;0,0002;
4;13;83;0,0002;0,0003;0,0001;0,0001;
1;84;40;0,0002;0,0058;0,0002;0,0002;
2;73;27;0,0002;0,0003;0,0002;0,0001;
3;90;90;0,0002;0,0003;0,0001;0,0001;
4;7;25;0,0002;0,0004;0,0002;0,0002;
5;28;17;0,0002;0,1603;0,0002;0,0002;
1;3;2;0,0002;0,0002;0,0002;0,0003;
2;77;64;0,0002;0,0003;0,0002;0,0002;
3;86;56;0,0002;0,0003;0,0002;0,0003;
4;45;96;0,0002;0,0003;0,0003;0,0002;
5;68;19;0,0002;0,134;0,0002;0,0002;
6;15;81;0,0004;0,0005;0,0002;0,0002;
1;43;35;0,0003;0,0003;0,0002;0,0002;
2;41;83;0,0003;0,0003;0,0002;0,0002;
3;92;87;0,0002;0,0003;0,0002;0,0003;
4;12;6;0,0003;0,0004;0,0003;0,0003;
5;97;72;0,0003;0,0004;0,0002;0,0003;
6;74;24;0,0003;0,0004;0,0002;0,0002;
7;23;73;0,0003;0,0005;0,0002;0,0003;
1;5;62;0,0003;0,0003;0,0002;0,0003;
2;6;78;0,0003;0,0003;0,0002;0,0002;
3;94;35;0,0003;0,0004;0,0002;0,0002;
4;30;17;0,0003;0,0006;0,0002;0,0001;
5;30;93;0,0003;0,0006;0,0001;0,0001;
6;55;88;0,0002;0,0005;0,0002;0,0002;
7;94;67;0,0002;0,0005;0,0001;0,0001;
8;18;55;0,0003;0,0004;0,0002;0,0002;
1;8;13;0,0002;0,0002;0,0002;0,0002;
2;21;10;0,0002;0,0003;0,0002;0,0002;
3;23;45;0,0002;0,0003;0,0001;0,0001;
4;36;25;0,0002;0,0003;0,0002;0,0002;
5;6;25;0,0002;0,0002;0,0002;0,0002;
6;4;10;0,0002;0,0003;0,0001;0,0002;
7;28;61;0,0002;0,0003;0,0002;0,0002;
8;17;88;0,0002;0,0003;0,0002;0,0001;
9;11;81;0,0002;0,0003;0,0002;0,0002;
1;95;13;0,0002;0,0002;0,0002;0,0002;
2;13;9;0,0002;0,0002;0,0002;0,0002;
3;2;73;0,0002;0,0002;0,0002;0,0002;
4;95;54;0,0002;0,0003;0,0002;0,0002;
5;72;38;0,0002;0,0002;0,0001;0,0002;
6;84;43;0,0002;0,0005;0,0002;0,0003;
7;65;19;0,0002;0,0002;0,0003;0,0003;
8;81;69;0,0002;0,0003;0,0003;0,0002;
9;35;86;0,0002;0,0003;0,0003;0,0003;
10;90;25;0,0002;0,0003;0,0003;0,0003;
1;75;92;0,0002;0,0002;0,0002;0,0002;
2;45;36;0,0002;0,0003;0,0002;0,0003;
3;64;84;0,0002;0,0004;0,0003;0,0002;
4;75;96;0,0003;0,0003;0,0002;0,0003;
5;59;14;0,0003;0,0007;0,0003;0,0002;
6;18;40;0,0003;0,0004;0,0003;0,0002;
7;95;45;0,0002;0,0004;0,0003;0,0002;
8;67;36;0,0003;0,0007;0,0003;0,0003;
9;76;62;0,0003;0,0005;0,0002;0,0001;
10;57;67;0,0002;0,0005;0,0002;0,0002;
11;22;90;0,0003;0,0004;0,0002;0,0002;
1;18;39;0,0002;0,0002;0,0002;0,0002;
2;70;30;0,0002;0,0003;0,0001;0,0001;
3;24;33;0,0002;0,0002;0,0002;0,0002;
4;19;46;0,0002;0,0005;0,0003;0,0002;
5;22;1;0,0003;0,0003;0,0002;0,0001;
6;27;52;0,0002;0,0003;0,0002;0,0002;
7;69;83;0,0002;0,0003;0,0002;0,0002;
8;49;21;0,0002;0,0005;0,0002;0,0001;
9;96;69;0,0002;0,0003;0,0002;0,0002;
10;35;31;0,0002;0,0003;0,0002;0,0002;
11;43;45;0,0002;0,0006;0,0002;0,0002;
12;19;96;0,0001;0,0003;0,0001;0,0001;
1;51;16;0,0002;0,0002;0,0002;0,0002;
2;60;11;0,0001;0,0002;0,0001;0,0001;
3;44;48;0,0001;0,0002;0,0001;0,0001;
4;48;24;0,0002;0,0003;0,0002;0,0002;
5;14;90;0,0002;0,0003;0,0002;0,0001;
6;23;17;0,0001;0,0003;0,0002;0,0002;
7;84;61;0,0002;0,0003;0,0002;0,0002;
8;64;34;0,0002;0,0005;0,0002;0,0002;
9;25;27;0,0002;0,0002;0,0003;0,0002;
10;84;94;0,0002;0,0004;0,0001;0,0002;
11;64;41;0,0002;0,0003;0,0002;0,0002;
12;45;57;0,0002;0,0003;0,0001;0,0002;
13;93;28;0,0002;0,0003;0,0002;0,0002;
1;86;10;0,0002;0,0002;0,0001;0,0001;
2;83;33;0,0001;0,0002;0,0002;0,0002;
3;69;12;0,0002;0,0003;0,0002;0,0002;
4;61;26;0,0002;0,0004;0,0002;0,0001;
5;49;11;0,0002;0,0003;0,0002;0,0001;
6;36;49;0,0002;0,0004;0,0002;0,0002;
7;34;61;0,0002;0,0004;0,0002;0,0001;
8;36;97;0,0002;0,0003;0,0002;0,0002;
9;91;77;0,0001;0,0003;0,0002;0,0002;
10;13;61;0,0001;0,0003;0,0002;0,0001;
11;10;57;0,0002;0,0003;0,0003;0,0003;
12;49;78;0,0002;0,0004;0,0002;0,0003;
13;82;59;0,0002;0,0002;0,0003;0,0003;
14;38;22;0,0002;0,0003;0,0002;0,0002;
1;82;59;0,0003;0,0002;0,0002;0,0004;
2;15;70;0,0002;0,0003;0,0002;0,0002;
3;40;61;0,0058;0,0004;0,0001;0,0001;
4;43;46;0,0002;0,0006;0,0002;0,0002;
5;99;27;0,0003;0,0004;0,0001;0,0002;
6;22;10;0,0003;0,0003;0,0002;0,0002;
